Niveau_alerte,date,region_id,hospit_pct,first_dose,second_dose,CONNECT_lag,Faibles_revenues_65_ans,Immigration_2011_2016
1,2021-07-28,13,0.000709231594849,0.730707127541118,0.544897906111921,0.7,0.085,0.0358
1,2021-07-28,14,0,0.773169144455493,0.596292209314546,0.7,0.04,0.0054
1,2021-07-28,15,0.000169664065151,0.791711910417374,0.581162198846284,0.7,0.042,0.0061
1,2021-07-28,16,0.000591078119101,0.797325223741539,0.600338835531774,0.7,0.05,0.0167
1,2021-07-29,1,0,0.765782607594295,0.624034247789852,0.7,0.014,0.0031
1,2021-07-29,2,0.000361836392057,0.769586203902044,0.617195189023331,0.7,0.017,0.0022
1,2021-07-29,3,0.000273973728659,0.793936139463587,0.623742289351874,0.7,0.084,0.0174
1,2021-07-29,4,0,0.748123442757384,0.572772270413029,0.7,0.021,0.0053
1,2021-07-29,5,0.000846354855432,0.766706515874443,0.583931953069623,0.7,0.021,0.0113
1,2021-07-29,6,0.001699240593931,0.735339158124121,0.552918986387538,0.7,0.145,0.0714
1,2021-07-29,7,0.001568201064286,0.738693270326499,0.580456555603182,0.7,0.06,0.0201
1,2021-07-29,8,0.000681584274488,0.727713898184941,0.542793268673705,0.7,0.015,0.0039
1,2021-07-29,9,0,0.716930759419789,0.590036533431332,0.7,0.013,0.0026
1,2021-07-29,10,0,0.679665542439573,0.564432265317594,0.7,0.011,0.0039
1,2021-07-29,11,0.001107284826876,0.823033738968675,0.732181018923498,0.7,0.011,0.0022
1,2021-07-29,12,0,0.761929813703039,0.586378373746078,0.7,0.03,0.0041
1,2021-07-29,13,0.000709231594849,0.731723692827068,0.551611965209826,0.7,0.085,0.0358
1,2021-07-29,14,0,0.773870443576747,0.60155700531128,0.7,0.04,0.0054
1,2021-07-29,15,0.000169664065151,0.792385476756023,0.588758059043095,0.7,0.042,0.0061
1,2021-07-29,16,0.000591078119101,0.798078109495744,0.609474686710126,0.7,0.05,0.0167
1,2021-07-30,1,0,0.766187906882488,0.631020594270081,0.7,0.014,0.0031
